Field-of-Study,Detailed Work Activity,Coefficient,P-value
Psychology,schedule medical facility use.,-0.051,0.92108
Psychology,test green technologies or processes.,-0.243,0.64429
Psychology,time vehicle speed or traffic-control equipment operation.,0.862,0.1709
Psychology,"train patients, family members, or caregivers in techniques for managing disabilities or illnesses.",-0.144,0.78322
Mathematics,conduct diagnostic tests to determine patient health.,-0.869,0.04136
Mathematics,schedule activities or facility use.,-0.965,0.03244
Mathematics,teach online courses.,-1.019,0.02433
Mathematics,"apply finishes to artwork, crafts, or displays.",-0.619,0.31382
Mathematics,apply mathematical models of financial or business conditions.,-0.162,0.81891
Mathematics,determine appropriate methods for data analysis.,0.803,0.06562
Mathematics,develop financial analysis methods.,0.936,0.05519
Mathematics,develop scientific or mathematical models.,-0.96,0.09574
Mathematics,evaluate student work.,0.078,0.84973
English Literature,adjust routes or speeds as necessary.,-1.504,0.021
English Literature,design energy production or management equipment or systems.,1.875,0.01623
English Literature,communicate with government agencies.,-0.169,0.86211
English Literature,communicate with others to coordinate vehicle movement.,1.639,0.1396
English Literature,complete documentation required by programs or regulations.,-0.024,0.97018
English Literature,"develop educational goals, standards, policies, or procedures.",-1.019,0.07107
English Literature,estimate green project costs.,0.307,0.50295
English Literature,evaluate environmental or sustainability projects.,0.164,0.83125
English Literature,evaluate skills of athletes or performers.,0.276,0.57053
English Literature,evaluate student work.,-0.082,0.89536
English Literature,"inform the public about policies, services or procedures.",-1.534,0.05548
English Literature,install audio or communications equipment.,0.885,0.16717
English Literature,record images needed to address work issues.,-0.557,0.33625
English Literature,teach medical procedures or medical equipment use to patients.,-0.387,0.5038
English Literature,tutor students who need extra assistance.,-0.94,0.12877
Political Science,advise others on social or educational issues.,-0.696,0.30281
Political Science,communicate with government agencies.,-0.666,0.10447
Political Science,develop instructional objectives.,-0.638,0.23697
Political Science,evaluate information related to legal matters in public or personal records.,0.195,0.7621
Political Science,meet with individuals involved in legal processes to provide information and clarify issues.,-1.118,0.09754
Political Science,test fluids to identify contamination or other problems.,-0.535,0.31623
Political Science,train staff members in social services skills.,-0.941,0.16194
Education,design integrated computer systems.,1.024,0.02689
Education,teach social science courses at the college level.,0.526,0.02646
Education,document lesson plans.,0.525,0.30532
Education,evaluate skills of athletes or performers.,-0.298,0.27613
Education,explain medical procedures or test results to patients or family members.,-0.958,0.07641
Education,monitor health or behavior of people or animals.,-0.323,0.43112
Education,plan experiential learning activities.,0.235,0.59476
Education,review art or design materials.,0.106,0.82467
Media / Communications,confer with managers to make operational decisions.,1.911,0.00424
Media / Communications,review art or design materials.,1.137,0.02602
Media / Communications,serve on institutional or departmental committees.,1.751,0.00426
Media / Communications,calculate financial data.,-0.414,0.67913
Media / Communications,clean work sites.,0.255,0.72654
Media / Communications,develop health assessment methods or programs.,-0.213,0.61247
Media / Communications,develop information communication procedures.,-0.365,0.19673
Media / Communications,develop patient therapy programs.,-0.873,0.19609
Media / Communications,evaluate capabilities or training needs.,-0.69,0.21264
Media / Communications,examine medical instruments or equipment to ensure proper operation.,-0.698,0.20785
Media / Communications,prepare detailed work plans.,0.367,0.55343
Media / Communications,review technical documents to plan work.,0.008,0.99152
Media / Communications,verify accuracy of financial information.,0.959,0.1366
Accounting,advise others on career or personal development.,3.863,0
Accounting,"develop artistic or design concepts for decoration, exhibition, or commercial purposes.",-1.803,0.00111
Accounting,make decisions in legal cases.,1.35,0.02197
Accounting,participate in staffing decisions.,1.664,0.03567
Accounting,process animal carcasses.,-1.113,0.02748
Accounting,promote educational institutions or programs.,-1.738,0.01258
Accounting,promote environmental sustainability or conservation initiatives.,-2.167,0.03087
Accounting,"advise educators on curricula, instructional methods, or policies.",-0.607,0.33661
Accounting,advise others on analytical techniques.,-0.589,0.30763
Accounting,analyze test or performance data to assess equipment operation.,0.452,0.20472
Accounting,code data or other information.,0.489,0.48115
Accounting,conduct health or safety training programs.,-0.763,0.32869
Accounting,coordinate reporting or editing activities.,-0.304,0.58796
Accounting,direct employee training programs.,1.031,0.19508
Accounting,direct natural resources extraction projects.,-1.125,0.1363
Accounting,engage patients in exercises or activities.,-0.932,0.21189
Accounting,enter codes or other information into computers.,0.454,0.62753
Accounting,implement therapeutic programs to improve patient functioning.,0.989,0.24154
Accounting,measure effectiveness of business strategies or practices.,-0.174,0.75357
Accounting,schedule patient procedures or appointments.,0.394,0.55395
Accounting,test computer system operations to ensure proper functioning.,-0.188,0.75274
Accounting,write computer programming code.,0.308,0.52052
